State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
tripura,2022,1,Merchant payments,992891,1037265262
tripura,2022,1,Recharge & bill payments,641170,262348230
tripura,2022,1,Financial Services,4351,5782533
tripura,2022,1,Others,10915,7221703
tripura,2022,4,Peer-to-peer payments,2252390,8142233538
tripura,2022,4,Merchant payments,2054988,1925282618
tripura,2022,4,Recharge & bill payments,874800,373875271
tripura,2022,4,Financial Services,5787,5028488
tripura,2022,4,Others,10225,6551901
tripura,2022,3,Peer-to-peer payments,1836678,6718925839
tripura,2022,3,Merchant payments,1660497,1589078400
tripura,2022,3,Recharge & bill payments,745382,329401812
tripura,2022,3,Financial Services,4343,5330626
tripura,2022,3,Others,9679,5616127
tripura,2020,2,Recharge & bill payments,600206,163220166
tripura,2020,2,Peer-to-peer payments,346863,1501452755
tripura,2020,2,Merchant payments,97816,99795973
tripura,2020,2,Financial Services,2904,2247782
tripura,2020,2,Others,4731,2459205
tripura,2020,1,Recharge & bill payments,449584,114355218
tripura,2020,1,Peer-to-peer payments,366218,1400694933
tripura,2020,1,Merchant payments,102861,68590603
tripura,2020,1,Financial Services,1722,1066651
tripura,2020,1,Others,4117,4071399
tripura,2020,4,Peer-to-peer payments,650386,2683789889
tripura,2020,4,Recharge & bill payments,631611,192385823
tripura,2020,4,Merchant payments,357567,296872485
tripura,2020,4,Financial Services,4084,3666639
tripura,2020,4,Others,8242,5416158
tripura,2020,3,Recharge & bill payments,627363,185201997
tripura,2020,3,Peer-to-peer payments,477769,1959371082
tripura,2020,3,Merchant payments,202106,190218136
tripura,2020,3,Financial Services,3828,3141391
tripura,2020,3,Others,6819,3886908
tripura,2018,2,Recharge & bill payments,118171,22554398
tripura,2018,2,Peer-to-peer payments,73821,197666881
tripura,2018,2,Merchant payments,9621,10570951
tripura,2018,2,Financial Services,6925,1264101
tripura,2018,2,Others,6021,4835385
tripura,2018,1,Recharge & bill payments,86819,14079439
tripura,2018,1,Peer-to-peer payments,44844,112229994
tripura,2018,1,Financial Services,4842,672247
tripura,2018,1,Merchant payments,4833,6080959
tripura,2018,1,Others,6819,4916272
tripura,2018,4,Recharge & bill payments,204720,38334816
tripura,2018,4,Peer-to-peer payments,179739,549068822
tripura,2018,4,Merchant payments,50888,31066467
tripura,2018,4,Financial Services,6441,1023126
tripura,2018,4,Others,6271,5392365
tripura,2018,3,Peer-to-peer payments,186065,398867427
tripura,2018,3,Recharge & bill payments,156308,33484811
tripura,2018,3,Merchant payments,21476,16092396
tripura,2018,3,Financial Services,8106,1080000
tripura,2018,3,Others,5748,4338753
tripura,2023,2,Merchant payments,3654027,2936486824
tripura,2023,2,Peer-to-peer payments,3144448,10396364428
tripura,2023,2,Recharge & bill payments,1112236,570797284
tripura,2023,2,Financial Services,8100,8721399
tripura,2023,2,Others,10732,6760147
tripura,2023,1,Merchant payments,2991978,2538146159
tripura,2023,1,Peer-to-peer payments,2961284,10170883076
tripura,2023,1,Recharge & bill payments,1146228,565902758
tripura,2023,1,Financial Services,7716,6190362
tripura,2023,1,Others,11481,7160536
tripura,2023,3,Merchant payments,4388876,3335231974
tripura,2023,3,Peer-to-peer payments,3553878,11300910781
tripura,2023,3,Recharge & bill payments,1144676,597050057
tripura,2023,3,Financial Services,11060,9972113
tripura,2023,3,Others,10272,6058405
tripura,2021,2,Peer-to-peer payments,703728,2865655130
tripura,2021,2,Recharge & bill payments,589839,189808502
tripura,2021,2,Merchant payments,440060,404915546
tripura,2021,2,Financial Services,3656,3503925
tripura,2021,2,Others,7146,4271255
tripura,2021,1,Peer-to-peer payments,643366,2821226150
tripura,2021,1,Recharge & bill payments,508718,173211140
tripura,2021,1,Merchant payments,350366,333743281
tripura,2021,1,Financial Services,3146,2879929
tripura,2021,1,Others,5827,4281067
tripura,2021,4,Peer-to-peer payments,1060915,4368786747
tripura,2021,4,Merchant payments,793636,874005407
tripura,2021,4,Recharge & bill payments,650251,241225282
tripura,2021,4,Financial Services,3635,5073898
tripura,2021,4,Others,12256,7838128
tripura,2021,3,Peer-to-peer payments,864329,3491901741
tripura,2021,3,Recharge & bill payments,620991,215226019
tripura,2021,3,Merchant payments,584079,648504775
tripura,2021,3,Financial Services,2886,3473153
tripura,2021,3,Others,8915,5028078
andhra-pradesh,2019,2,Peer-to-peer payments,32494402,1.04E+11
andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345387
andhra-pradesh,2019,2,Merchant payments,9226537,4613405202
andhra-pradesh,2019,2,Financial Services,145310,26626696
andhra-pradesh,2019,2,Others,448802,361492238
andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742
andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602
andhra-pradesh,2019,1,Merchant payments,5043682,2423536770
andhra-pradesh,2019,1,Financial Services,416325,47150177
andhra-pradesh,2019,1,Others,361263,284937624
andhra-pradesh,2019,4,Peer-to-peer payments,57181511,1.79E+11
andhra-pradesh,2019,4,Merchant payments,25122370,13476303367
andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168605
andhra-pradesh,2019,4,Financial Services,105662,26796571
andhra-pradesh,2019,4,Others,338672,216496893
andhra-pradesh,2019,3,Peer-to-peer payments,39023491,1.24E+11
andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984676
andhra-pradesh,2019,3,Merchant payments,16581787,7887394038
andhra-pradesh,2019,3,Financial Services,122270,29778183
andhra-pradesh,2019,3,Others,413437,298142027
andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1.23E+12
andhra-pradesh,2022,2,Merchant payments,292530048,2.05E+11
andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939
andhra-pradesh,2022,2,Financial Services,192751,245783011
andhra-pradesh,2022,2,Others,441925,357036084
andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1.09E+12
andhra-pradesh,2022,1,Merchant payments,242031836,1.69E+11
andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841
andhra-pradesh,2022,1,Financial Services,231651,324358965
andhra-pradesh,2022,1,Others,627694,474382234
andhra-pradesh,2022,4,Merchant payments,321632104,2.12E+11
andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1.17E+12
andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706
andhra-pradesh,2022,4,Financial Services,206459,250596592
andhra-pradesh,2022,4,Others,345658,339211363
andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1.14E+12
andhra-pradesh,2022,3,Merchant payments,291033653,2.03E+11
andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826
andhra-pradesh,2022,3,Financial Services,187190,239347241
andhra-pradesh,2022,3,Others,362484,323951101
andhra-pradesh,2020,2,Peer-to-peer payments,73609921,2.63E+11
andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006436
andhra-pradesh,2020,2,Merchant payments,29976765,22625596525
andhra-pradesh,2020,2,Financial Services,140941,145274999
andhra-pradesh,2020,2,Others,176241,90087654
andhra-pradesh,2020,1,Peer-to-peer payments,65452143,2.23E+11
andhra-pradesh,2020,1,Merchant payments,31408022,18603161784
andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530777
andhra-pradesh,2020,1,Financial Services,75238,43739133
andhra-pradesh,2020,1,Others,292310,188228538
andhra-pradesh,2020,4,Peer-to-peer payments,152003791,5.67E+11
andhra-pradesh,2020,4,Merchant payments,86581460,66654048149
andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337211
andhra-pradesh,2020,4,Financial Services,265470,305168772
andhra-pradesh,2020,4,Others,457527,306853355
andhra-pradesh,2020,3,Peer-to-peer payments,106791894,4.06E+11
andhra-pradesh,2020,3,Merchant payments,54055557,40739580213
andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104674
andhra-pradesh,2020,3,Financial Services,243088,256074924
andhra-pradesh,2020,3,Others,312329,151582519
andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598591488
andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451493098
andhra-pradesh,2018,2,Merchant payments,604847,436785223
andhra-pradesh,2018,2,Financial Services,225621,68952114
andhra-pradesh,2018,2,Others,322063,328092346
andhra-pradesh,2018,1,Recharge & bill payments,5027448,892293975
andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524250283
andhra-pradesh,2018,1,Merchant payments,362672,247297640
andhra-pradesh,2018,1,Financial Services,204305,44808449
andhra-pradesh,2018,1,Others,395514,287626042
andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726
andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314
andhra-pradesh,2018,4,Merchant payments,2622131,1671585888
andhra-pradesh,2018,4,Financial Services,400837,57178116
andhra-pradesh,2018,4,Others,389411,315211361
andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738630444
andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949098146
andhra-pradesh,2018,3,Merchant payments,1225416,685277254
andhra-pradesh,2018,3,Financial Services,380324,60790077
